Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Aug 22 2023,Dallas Wings,,Minnesota Lynx,,,
Tue Aug 22 2023,Connecticut Sun,,Washington Mystics,,,
Wed Aug 23 2023,Phoenix Mercury,,Los Angeles Sparks,,,
Thu Aug 24 2023,Las Vegas Aces,,Chicago Sky,,,
Thu Aug 24 2023,New York Liberty,,Connecticut Sun,,,
Thu Aug 24 2023,Minnesota Lynx,,Dallas Wings,,,
Thu Aug 24 2023,Seattle Storm,,Indiana Fever,,,
Fri Aug 25 2023,Los Angeles Sparks,,Atlanta Dream,,,
Sat Aug 26 2023,New York Liberty,,Minnesota Lynx,,,
Sat Aug 26 2023,Las Vegas Aces,,Washington Mystics,,,
Sun Aug 27 2023,Los Angeles Sparks,,Connecticut Sun,,,
Sun Aug 27 2023,Atlanta Dream,,Indiana Fever,,,
Sun Aug 27 2023,Dallas Wings,,Phoenix Mercury,,,
Sun Aug 27 2023,Chicago Sky,,Seattle Storm,,,
Mon Aug 28 2023,Las Vegas Aces,,New York Liberty,,,
Tue Aug 29 2023,Phoenix Mercury,,Atlanta Dream,,,
Tue Aug 29 2023,Chicago Sky,,Los Angeles Sparks,,,
Tue Aug 29 2023,Minnesota Lynx,,Washington Mystics,,,
Thu Aug 31 2023,Phoenix Mercury,,Connecticut Sun,,,
Thu Aug 31 2023,Seattle Storm,,Los Angeles Sparks,,,
Thu Aug 31 2023,Washington Mystics,,Las Vegas Aces,,,
Fri Sep 1 2023,Dallas Wings,,Indiana Fever,,,
Fri Sep 1 2023,Atlanta Dream,,Minnesota Lynx,,,
Fri Sep 1 2023,Connecticut Sun,,New York Liberty,,,
Sat Sep 2 2023,Seattle Storm,,Las Vegas Aces,,,
Sun Sep 3 2023,New York Liberty,,Chicago Sky,,,
Sun Sep 3 2023,Indiana Fever,,Dallas Wings,,,
Sun Sep 3 2023,Washington Mystics,,Los Angeles Sparks,,,
Sun Sep 3 2023,Phoenix Mercury,,Minnesota Lynx,,,
Tue Sep 5 2023,Los Angeles Sparks,,Connecticut Sun,,,
Tue Sep 5 2023,New York Liberty,,Dallas Wings,,,
Tue Sep 5 2023,Chicago Sky,,Indiana Fever,,,
Tue Sep 5 2023,Washington Mystics,,Phoenix Mercury,,,
Wed Sep 6 2023,Seattle Storm,,Atlanta Dream,,,
Thu Sep 7 2023,Los Angeles Sparks,,New York Liberty,,,
Fri Sep 8 2023,Minnesota Lynx,,Chicago Sky,,,
Fri Sep 8 2023,Indiana Fever,,Connecticut Sun,,,
Fri Sep 8 2023,Seattle Storm,,Dallas Wings,,,
Fri Sep 8 2023,Las Vegas Aces,,Phoenix Mercury,,,
Fri Sep 8 2023,Atlanta Dream,,Washington Mystics,,,
Sun Sep 10 2023,Dallas Wings,,Atlanta Dream,,,
Sun Sep 10 2023,Chicago Sky,,Connecticut Sun,,,
Sun Sep 10 2023,Minnesota Lynx,,Indiana Fever,,,
Sun Sep 10 2023,Phoenix Mercury,,Las Vegas Aces,,,
Sun Sep 10 2023,Washington Mystics,,New York Liberty,,,
Sun Sep 10 2023,Los Angeles Sparks,,Seattle Storm,,,
